DFA_channel1,Fisher_Information_channel1,HFD_channel1,PFD_channel1,SVD_Entropy_channel1,variance_channel1,std_deviation_channel1,mean_channel1,fft_variance_channel1,fft_std_deviation_channel1,fft2_variance_channel1,zero_crossing_rate_channel1,complexity_channel1,DFA_channel2,Fisher_Information_channel2,HFD_channel2,PFD_channel2,SVD_Entropy_channel2,variance_channel2,std_deviation_channel2,mean_channel2,fft_variance_channel2,fft_std_deviation_channel2,fft2_variance_channel2,zero_crossing_rate_channel2,complexity_channel2
0.23548243914114303,0.3346354166666667,0.23548243914114303,-0.0,0.0,0.03459185698759668,0.18598886253643437,0.45886234695620537,313.63701696056035,17.70980002599014,313.63701696056035,2,0.26311375240295704,0.13723781092772067,0.3346354166666667,0.13723781092772067,-0.0,0.0,0.026820397760073368,0.1637693431631005,0.49856294124942163,352.7055803209582,18.780457404465903,352.7055803209582,2,0.16931488855438234
0.2384534725863748,0.3346354166666667,0.2384534725863748,-0.0,0.0,0.03416158638989384,0.1848285324020451,0.4971207562012663,359.90635910436754,18.971198146252323,359.90635910436754,2,0.2661678599505396,0.14022962957982724,0.3346354166666667,0.14022962957982724,-0.0,0.0,0.021398299685444835,0.14628157671232847,0.4340505237506338,268.6256546814586,16.389803375314134,268.6256546814586,2,0.16980984600115637
0.08963573609702631,0.3346354166666667,0.08963573609702631,-0.0,0.0,0.008145828738039974,0.09025424498626075,0.3007519840775786,126.21065767314691,11.234351680143671,126.21065767314691,2,0.10153464820523218,0.08213086033189643,0.3346354166666667,0.08213086033189643,-0.0,0.0,0.02016813532387556,0.14201456025307954,0.3706005795017394,201.67475903386816,14.201223856902903,201.67475903386816,2,0.10010711096580532
0.1654870917326153,0.3346354166666667,0.1654870917326153,-0.0,0.0,0.017009431751181747,0.13042021220340713,0.6799399227129317,613.7622268606783,24.774225050658565,613.7622268606783,2,0.18503437253627586,0.08471574582940007,0.3346354166666667,0.08471574582940007,-0.0,0.0,0.010586397047680694,0.10289021842566325,0.3150207590487394,140.58971493087452,11.85705338315024,140.58971493087452,2,0.10565771207479122
0.25052228845714675,0.3346354166666667,0.25052228845714675,-0.0,0.0,0.03701495888292901,0.19239272045201972,0.5327839744525685,411.0277833553105,20.27382014705937,411.0277833553105,2,0.27776562195033283,0.11278090058106771,0.3346354166666667,0.11278090058106771,-0.0,0.0,0.01624811684996793,0.1274681013036906,0.517319725879042,363.43918074790116,19.064080904882385,363.43918074790116,2,0.1411844136289292
0.19791222673333211,0.3346354166666667,0.19791222673333211,-0.0,0.0,0.025474219861540272,0.1596064530698564,0.567994017160968,445.7163844462115,21.11199622125325,445.7163844462115,2,0.21961794204349697,0.0851106412899287,0.3346354166666667,0.0851106412899287,-0.0,0.0,0.02092883288752203,0.14466800920563616,0.5459020783912412,408.49153938903373,20.21117362720517,408.49153938903373,2,0.11492011669839199
0.1120618711741342,0.3346354166666667,0.1120618711741342,-0.0,0.0,0.013750691818817848,0.11726334388383203,0.4243119262535227,248.2077973874709,15.754611940237401,248.2077973874709,2,0.12906308635392336,0.07385627881152931,0.3346354166666667,0.07385627881152931,-0.0,0.0,0.017489381492610537,0.13224742527781227,0.5707229117619236,439.2000822045645,20.95710099714568,439.2000822045645,2,0.09345351390656988
0.07510252446588435,0.3346354166666667,0.07510252446588435,-0.0,0.0,0.007378314188109314,0.08589711396845248,0.7256946231220394,683.6834364072703,26.14734090509531,683.6834364072703,2,0.08807645162534095,0.06842751622755587,0.3346354166666667,0.06842751622755587,-0.0,0.0,0.011348011659583376,0.10652704661063019,0.6307252366005776,523.7171866792405,22.88486807213973,523.7171866792405,2,0.1034552558237874
0.08186164877379791,0.3346354166666667,0.08186164877379791,-0.0,0.0,0.012820331538495058,0.1132269028919146,0.4304517581133067,253.73619846565668,15.929099110296749,253.73619846565668,2,0.09685301570550675,0.0628494952856524,0.3346354166666667,0.0628494952856524,-0.0,0.0,0.021627227287018765,0.14706198450659763,0.5146888007314293,366.6631112067626,19.148449315982813,366.6631112067626,2,0.07678405866706761
0.24186741103014148,0.3346354166666667,0.24186741103014148,-0.0,0.0,0.035749416339770565,0.18907516055730475,0.512208312758079,381.6572668204176,19.536050440670387,381.6572668204176,2,0.27082144719514123,0.13774103316427536,0.3346354166666667,0.13774103316427536,-0.0,0.0,0.023255592282948837,0.1524978435354049,0.5248626563554881,382.38894807659574,19.5547679116014,382.38894807659574,2,0.17292759705715713
0.2090077437319054,0.3346354166666667,0.2090077437319054,-0.0,0.0,0.031073266980582416,0.17627611006765045,0.5150966418794095,379.19197697786257,19.472852307195847,379.19197697786257,2,0.2366458491576152,0.10645586403974301,0.3346354166666667,0.10645586403974301,-0.0,0.0,0.02016896325969513,0.14201747519124233,0.5109306379478998,360.00458768299376,18.97378685668714,360.00458768299376,2,0.13375098096733828
0.05825867154777824,0.3346354166666667,0.05825867154777824,-0.0,0.0,0.015681896958345615,0.12522738102486058,0.43554080483324387,262.9683558820053,16.216299080924887,262.9683558820053,2,0.08267893445204391,0.05702985708406344,0.3346354166666667,0.05702985708406344,-0.0,0.0,0.010558562885389335,0.10275486794010946,0.421971388818031,241.3891097603392,15.536702023284711,241.3891097603392,2,0.07160960527990877
0.22816881148916726,0.3346354166666667,0.22816881148916726,-0.0,0.0,0.03251591135049282,0.1803216885194147,0.4696442678504363,324.04043646575514,18.001123200116016,324.04043646575514,2,0.2563691424441332,0.10523371174246972,0.3346354166666667,0.10523371174246972,-0.0,0.0,0.014622781818479248,0.12092469482483405,0.5626093836554584,424.20584060683296,20.59625792727487,424.20584060683296,1,0.12920689847366595
0.24826158447568453,0.3346354166666667,0.24826158447568453,-0.0,0.0,0.03762419277019506,0.19396956660825704,0.4926643024234794,358.8480606438523,18.943285370913156,358.8480606438523,2,0.2806966951739936,0.10715568907451627,0.3346354166666667,0.10715568907451627,-0.0,0.0,0.017365262503182172,0.13177732165734046,0.4813695231787539,318.8837738629703,17.857317095884543,318.8837738629703,2,0.13535062659656588
0.2036430669823388,0.3346354166666667,0.2036430669823388,-0.0,0.0,0.027701982598393828,0.16643912580398224,0.5115071203500693,370.09104038530137,19.237750398248266,370.09104038530137,2,0.22895167153658397,0.10869764835174082,0.3346354166666667,0.10869764835174082,-0.0,0.0,0.01766721345696623,0.1329180704681129,0.5290320064408386,380.70092449223546,19.511558740711504,380.70092449223546,2,0.13007539155269487
0.1841905815821813,0.3346354166666667,0.1841905815821813,-0.0,0.0,0.020925886511974464,0.14465782561608778,0.48763622817867885,331.2860440284331,18.201264901880666,331.2860440284331,2,0.2068611259409868,0.12224229782388647,0.3346354166666667,0.12224229782388647,-0.0,0.0,0.021464252929304112,0.1465068357767108,0.4312200839849323,265.48267923962624,16.293639226386052,265.48267923962624,2,0.15262716212815286
0.15532301924630687,0.3346354166666667,0.15532301924630687,-0.0,0.0,0.01703209711545448,0.13050707687882093,0.6502610249296459,563.2972781297058,23.733884598390247,563.2972781297058,2,0.17553395605440192,0.10048198372678145,0.3346354166666667,0.10048198372678145,-0.0,0.0,0.016282388698906098,0.12760246352992602,0.4093585978387945,234.81368264869275,15.323631509818185,234.81368264869275,2,0.12074075144346565
